,category,percentages,value
0,miscellaneous,25.237,913.14
1,geography,11.473,969.78
2,history,11.333,968.37
3,science,9.963,972.37
4,literature,6.942,996.62
5,music,5.143,938.68
6,film,4.731,946.68
7,people,4.535,943.7
8,food,3.917,792.68
9,television,2.913,869.19
10,theater,2.484,1060.11
11,sports,2.382,809.65
12,religion,2.149,973.44
13,business,1.775,863.59
14,fashion,1.282,852.97
15,government,1.25,950.97
16,art,0.951,1143.34
17,entertainment,0.857,915.62
18,language,0.685,1002.94
